"long" "lat" "order" "hole" "piece" "id" "group" "SA4"
-23766.57501211 13884.58803265 10556 FALSE "1" "210" "210.1" "210"
-24579.58250632 14908.14472457 10557 FALSE "1" "210" "210.1" "210"
-26305.74771999 16113.89488853 10558 FALSE "1" "210" "210.1" "210"
-25412.19647766 16708.64783301 10559 FALSE "1" "210" "210.1" "210"
-24655.72343656 18350.62100077 10560 FALSE "1" "210" "210.1" "210"
-25905.34833604 18480.99449833 10561 FALSE "1" "210" "210.1" "210"
-26045.85381458 19989.0417962 10562 FALSE "1" "210" "210.1" "210"
-28495.6130952 19174.49021264 10563 FALSE "1" "210" "210.1" "210"
-29252.84840876 20106.07544417 10564 FALSE "1" "210" "210.1" "210"
-28920.15600092 20582.28616923 10565 FALSE "1" "210" "210.1" "210"
-29683.99141079 20550.71275656 10566 FALSE "1" "210" "210.1" "210"
-31374.50172419 20687.43542368 10567 FALSE "1" "210" "210.1" "210"
-36653.70764294 21414.83392729 10568 FALSE "1" "210" "210.1" "210"
-39140.9728134 23214.63001687 10569 FALSE "1" "210" "210.1" "210"
-39129.15250871 28331.31013186 10570 FALSE "1" "210" "210.1" "210"
-41263.84906524 28742.75984916 10571 FALSE "1" "210" "210.1" "210"
-41860.27645112 31759.22110437 10572 FALSE "1" "210" "210.1" "210"
-56620.88635633 33504.20470036 10573 FALSE "1" "210" "210.1" "210"
-55770.99478685 36301.82959458 10574 FALSE "1" "210" "210.1" "210"
-55712.47964357 37818.1983972 10575 FALSE "1" "210" "210.1" "210"
-56655.36811172 38975.54457082 10576 FALSE "1" "210" "210.1" "210"
-55545.03235041 46257.84615866 10577 FALSE "1" "210" "210.1" "210"
-55046.11469936 48184.85669288 10578 FALSE "1" "210" "210.1" "210"
-51974.91102586 48108.03609878 10579 FALSE "1" "210" "210.1" "210"
-51163.27014564 49504.31880915 10580 FALSE "1" "210" "210.1" "210"
-49913.49732867 49804.08012113 10581 FALSE "1" "210" "210.1" "210"
-49108.68499576 51713.95905466 10582 FALSE "1" "210" "210.1" "210"
-47678.09885671 51414.17215881 10583 FALSE "1" "210" "210.1" "210"
-46429.30476394 54373.85171583 10584 FALSE "1" "210" "210.1" "210"
-44270.54065031 54317.05162658 10585 FALSE "1" "210" "210.1" "210"
-43919.85410352 56991.08124574 10586 FALSE "1" "210" "210.1" "210"
-41270.18873914 56910.66628014 10587 FALSE "1" "210" "210.1" "210"
-40872.36840234 59689.74173105 10588 FALSE "1" "210" "210.1" "210"
-38999.74112137 61732.94057729 10589 FALSE "1" "210" "210.1" "210"
-42159.15919124 62798.5524909 10590 FALSE "1" "210" "210.1" "210"
-41966.80609479 64784.73238012 10591 FALSE "1" "210" "210.1" "210"
-42747.11855398 65686.55689846 10592 FALSE "1" "210" "210.1" "210"
