SA1_CODE_2021,Popn
10301161214,391
10301161215,567
10301161216,585
10301161217,241
10301161218,504
10301161219,210
10301161220,733
10301161221,300
10301161222,507
10301161223,394
10301161224,405
10301161225,305
10301161226,215
10301161301,339
10301161302,254
10301161303,360
10301161304,361
10301161305,314
10301161306,312
10301161307,917
10301161308,483
10301161309,429
10301161310,604
10301161311,360
10301161312,254
10301161313,340
10301161314,483
10301161315,643
10301161316,260
10301161317,450
10301161318,298
10301161319,245
10301161320,291
10301161321,353
10301161322,397
10301161323,556
10301161324,512
10301161325,560
10301161326,278
10301161327,398
10301161328,335
10301161329,215
10301161330,369
10301161331,0
10301161332,480
10301161333,0
10301161334,441
10301161335,367
10301161336,352
10301161337,0
10301161338,245
10301161339,444
10302106201,389
10302106202,403
10302106203,406
10302106204,359
10302106205,382
10302106206,414
10302106207,226
10302106208,225
10302106209,325
10302106210,363
10302106211,323
10302106212,158
10302106213,337
10302106214,227
10302106215,292
10302106216,96
10302106218,233
10302106219,304
10302106220,266
10302106221,86
10302106222,265
10302106223,4
10302106225,0
10302106226,294
10302106227,20
10302106301,4
10302106302,0
10302106303,464
10302106304,706
10302106305,290
10302106306,286
10302106307,15
10302106308,373
10302106309,456
10302106310,402
10302106311,381
10302106312,319
10302106313,218
10302106314,197
10302106315,443
10302106316,410
10302106317,363
10302106318,285
10302106319,365
10302106320,237
10302106321,297
10302106322,248
10302106323,442
10302106324,306
10302106325,522
10302106326,222
10302106327,189
10302106328,552
10302106329,287
10302106401,162
10302106402,242
10302106403,298
10302106404,387
10302106405,328
10302106406,356
10302106407,491
10302106408,524
10302106409,280
10302106410,281
10302106411,229
10302106412,299
10302106413,308
10302106414,334
10302106415,282
10302106416,260
10302106417,332
10302106418,311
10302106501,349
10302106502,316
10302106503,280
10302106504,378
10302106505,315
10302106506,398
10302106507,436
10302106508,437
10302106509,487
10302106510,339
10302106511,508
10302106512,341
10302106513,329
10302106514,344
10302106515,600
10302106516,206
10302106517,202
10302106518,293
10302106519,243
10302106520,280
10302106521,399
10302106522,198
10302106523,375
10302106524,171
10302106525,206
10302106526,536
10302106527,359
10302106528,406
10302106529,286
10302106601,211
10302106602,171
10302106603,287
10302106604,344
10302106605,333
10302106606,227
10302106607,341
10302106608,187
10302106609,390
10302106610,301
10302106611,294
10302106612,312
10302106613,226
10302106701,396
10302106702,434
10302106703,346
10302106704,159
10302106706,382
10302106708,414
10302106709,317
10302106711,292
10302106712,544
10302106713,358
10302106714,560
10302106715,583
10302106716,359
10302106717,246
10302106718,338
10302106719,396
10302106720,316
10302106721,241
10302106722,287
10302106723,454
10302106724,404
10302106725,254
10302106726,415
10302106727,430
10302106728,177
10302106729,555
10302106730,564
10302106731,0
10302106732,273
10302106733,433
10302106801,240
10302106802,259
10302106803,265
10302106804,248
10302106805,338
10302106806,229
10302106807,303
10302106808,384
10302106809,411
10302106810,282
10302106811,298
10302106901,238
10302106902,496
10302106904,339
10302106905,126
10302106906,344
10302106907,266
10302106908,200
10302106909,164
10302106910,300
10302106911,209
10302106912,230
10302106913,354
10302106914,405
10302106915,357
10302106916,353
10302106917,270
10302106918,323
10302106919,404
10302106920,149
10302106921,0
10303107001,432
10303107002,101
10303107003,399
10303107004,154
10303107005,545
10303107006,510
10303107007,219
10303107008,454
10303107009,0
10303107010,442
10303107011,435
10303107012,378
10303107013,315
10303107014,461
10303107015,548
10303107016,323
10303107017,298
10303107018,539
10303107019,471
10303107020,409
10303107021,566
10303107022,514
10303107023,465
10303107024,243
10303107025,326
10303107026,240
10303107027,536
10303107028,467
10303107029,373
10303107030,376
10303107031,267
10303107032,559
10303107101,211
10303107102,225
10303107103,379
10303107104,213
10303107105,289
10303107106,477
10303107107,593
10303107108,480
10303107109,271
10303107110,439
10303107111,201
10303107112,316
10303107113,319
10303107114,287
10303107115,288
10303107116,357
10303107117,323
10303107118,4
10303107119,236
10303107120,407
10303107121,187
10303107122,404
10303107123,114
10303107124,422
10303107125,163
10303107126,86
10303107127,386
10303107128,343
10303107201,332
10303107202,417
10303107203,247
10303107204,464
10303107205,456
10303107206,335
10303107208,477
10303107209,357
10303107210,460
10303107211,811
10303107212,319
10303107214,438
10303107215,436
10303107216,429
10303107217,726
10303107218,448
10303107219,586
10303107220,506
10303107221,335
10303107222,363
10303107224,456
10303107225,620
10303107226,623
10303107229,681
10303107230,106
10303107231,332
10303107232,5
10303107233,612
10303107234,194
10303107301,3
10303107302,285
10303107303,388
10303107304,242
10303107305,167
10303107306,189
10303107307,335
10303107308,323
