"long" "lat" "order" "hole" "piece" "id" "group" "ogc_fid" "sa3_code11" "sa3_name11" "sa4_code11" "sa4_name11" "gcc_code11" "gcc_name11" "ste_code11" "ste_name11" "albers_sqm" "SA3_CODE"
-54158.62360744 17111.12377739 13222 FALSE "1" "163" "163.1" "148" "21304" "Melton - Bacchus Marsh" "213" "Melbourne - West" "2GMEL" "Greater Melbourne" "2" "Victoria" 671974698.796907 21304
-56031.56098631 17351.46884736 13223 FALSE "1" "163" "163.1" "148" "21304" "Melton - Bacchus Marsh" "213" "Melbourne - West" "2GMEL" "Greater Melbourne" "2" "Victoria" 671974698.796907 21304
-56200.31104208 15789.16190907 13224 FALSE "1" "163" "163.1" "148" "21304" "Melton - Bacchus Marsh" "213" "Melbourne - West" "2GMEL" "Greater Melbourne" "2" "Victoria" 671974698.796907 21304
-61469.10554307 13336.62262194 13225 FALSE "1" "163" "163.1" "148" "21304" "Melton - Bacchus Marsh" "213" "Melbourne - West" "2GMEL" "Greater Melbourne" "2" "Victoria" 671974698.796907 21304
-61306.01153341 14548.61809719 13226 FALSE "1" "163" "163.1" "148" "21304" "Melton - Bacchus Marsh" "213" "Melbourne - West" "2GMEL" "Greater Melbourne" "2" "Victoria" 671974698.796907 21304
-62128.98124768 14505.28030944 13227 FALSE "1" "163" "163.1" "148" "21304" "Melton - Bacchus Marsh" "213" "Melbourne - West" "2GMEL" "Greater Melbourne" "2" "Victoria" 671974698.796907 21304
-62002.72123476 15434.18484794 13228 FALSE "1" "163" "163.1" "148" "21304" "Melton - Bacchus Marsh" "213" "Melbourne - West" "2GMEL" "Greater Melbourne" "2" "Victoria" 671974698.796907 21304
-62624.37068367 15519.51588283 13229 FALSE "1" "163" "163.1" "148" "21304" "Melton - Bacchus Marsh" "213" "Melbourne - West" "2GMEL" "Greater Melbourne" "2" "Victoria" 671974698.796907 21304
-62386.39012719 16832.22012547 13230 FALSE "1" "163" "163.1" "148" "21304" "Melton - Bacchus Marsh" "213" "Melbourne - West" "2GMEL" "Greater Melbourne" "2" "Victoria" 671974698.796907 21304
-64550.29238171 17779.63174645 13231 FALSE "1" "163" "163.1" "148" "21304" "Melton - Bacchus Marsh" "213" "Melbourne - West" "2GMEL" "Greater Melbourne" "2" "Victoria" 671974698.796907 21304
-64358.98807861 19177.2093797 13232 FALSE "1" "163" "163.1" "148" "21304" "Melton - Bacchus Marsh" "213" "Melbourne - West" "2GMEL" "Greater Melbourne" "2" "Victoria" 671974698.796907 21304
-66557.05543356 21029.89131197 13233 FALSE "1" "163" "163.1" "148" "21304" "Melton - Bacchus Marsh" "213" "Melbourne - West" "2GMEL" "Greater Melbourne" "2" "Victoria" 671974698.796907 21304
-65599.76097799 22142.94218583 13234 FALSE "1" "163" "163.1" "148" "21304" "Melton - Bacchus Marsh" "213" "Melbourne - West" "2GMEL" "Greater Melbourne" "2" "Victoria" 671974698.796907 21304
-67644.26394702 23302.70824694 13235 FALSE "1" "163" "163.1" "148" "21304" "Melton - Bacchus Marsh" "213" "Melbourne - West" "2GMEL" "Greater Melbourne" "2" "Victoria" 671974698.796907 21304
